City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,fale old settlement,-9.3852,-171.2468,28.42,71,100,4.9,TK,1694136379
353,adam,22.3756,57.5233,25.41,70,18,2.17,OM,1694136652
354,guerrero negro,27.9769,-114.0611,24.54,61,7,5.88,MX,1694136652
355,udachny,66.4167,112.4,1.36,92,44,7.11,RU,1694136653
356,gisborne,-38.6533,178.0042,14.77,67,0,4.11,NZ,1694136516
357,bay roberts,47.5999,-53.2648,20.59,98,100,0.89,CA,1694136653
358,kourou,5.1552,-52.6478,27.03,85,100,4.93,GF,1694136606
359,senanga,-16.1167,23.2667,18.41,26,0,2.75,ZM,1694136654
360,kimbe,-5.5502,150.1429,32.79,56,80,2.34,PG,1694136654
361,san julian,21.0167,-102.1667,15.81,83,100,2.46,MX,1694136655
362,vikhorevka,56.1201,101.1636,10.77,79,100,4.27,RU,1694136655
363,langtoucun,40.0261,124.3286,25.5,67,69,0.25,CN,1694136656
364,iquique,-20.2208,-70.1431,19.02,78,22,1.53,CL,1694136564
